epoch,iter,iter_time,learning_rate,loss,step,val_loss,val_ppl
0,5,0.2112358007580042,9.999860954187758e-06,0.7262917160987854,5,,
0,10,0.2145133949816227,9.999296093829673e-06,0.4360577464103699,10,,
0,15,0.212069446220994,9.998296777613011e-06,0.32839417457580566,15,,
0,20,0.21087848395109177,9.996863092381753e-06,0.12740245461463928,20,,
0,25,0.21583419665694237,9.99499516272803e-06,0.23139604926109314,25,,
0,30,0.21204080805182457,9.992693150981293e-06,0.10720967501401901,30,,
0,35,0.21633769199252129,9.9899572571942e-06,0.11374618858098984,35,,
0,40,0.22360660508275032,9.986787719125241e-06,0.21759220957756042,40,,
0,45,0.21324867382645607,9.983184812218075e-06,0.11928670108318329,45,,
0,50,0.214140847325325,9.979148849577577e-06,0.1784650832414627,50,,
0,55,0.21149771101772785,9.97468018194265e-06,0.14748160541057587,55,,
0,60,0.21832660771906376,9.96977919765573e-06,0.10080419480800629,60,,
0,65,0.2107652649283409,9.964446322629047e-06,0.34775978326797485,65,,
0,70,0.21078453958034515,9.958682020307607e-06,0.16149581968784332,70,,
0,75,0.21214159205555916,9.95248679162891e-06,0.1353021115064621,75,,
0,80,0.20899571850895882,9.945861174979435e-06,0.3230578303337097,80,,
0,85,0.21349717117846012,9.938805746147833e-06,0.1735045313835144,85,,
0,90,0.21576888673007488,9.9313211182749e-06,0.23056066036224365,90,,
0,95,0.21429289318621159,9.923407941800294e-06,0.14986102283000946,95,,
0,100,0.21052611991763115,9.915066904406e-06,0.13129569590091705,100,,
0,105,0.20946520194411278,9.906298730956587e-06,0.010818404145538807,105,,
0,110,0.21684942580759525,9.897104183436186e-06,0.09355738759040833,110,,
0,115,0.2146036233752966,9.887484060882293e-06,0.06814214587211609,115,,
0,120,0.20935526862740517,9.877439199316325e-06,0.13707859814167023,120,,
0,125,0.21112501993775368,9.86697047167097e-06,0.14397414028644562,125,,
0,130,0.21385245956480503,9.856078787714314e-06,0.13790324330329895,130,,
0,135,0.2113912645727396,9.844765093970791e-06,0.15564224123954773,135,,
0,140,0.20845925249159336,9.833030373638924e-06,0.034639690071344376,140,,
0,145,0.20683679543435574,9.820875646505879e-06,0.02901632897555828,145,,
0,150,0.22009188309311867,9.808301968858842e-06,0.18790075182914734,150,,
0,155,0.20669117756187916,9.79531043339323e-06,0.2527425289154053,155,,
0,160,0.20642458461225033,9.781902169117723e-06,0.05415070801973343,160,,
0,165,0.20846232399344444,9.76807834125616e-06,0.0933360755443573,165,,
0,170,0.2147714514285326,9.753840151146262e-06,0.11017275601625443,170,,
0,175,0.3799149729311466,9.739188836135252e-06,0.159727081656456,175,,
,,,,,179,0.10677186399698257,1.1126803830665932
0,180,0.2067254576832056,9.724125669472304e-06,0.0293451938778162,180,,
0,185,0.20674466155469418,9.708651960197908e-06,0.12938985228538513,185,,
0,190,0.45523183606565,9.692769053030104e-06,0.07426650077104568,190,,
0,195,0.20761043764650822,9.676478328247626e-06,0.0889429971575737,195,,
0,200,0.2068228181451559,9.659781201569941e-06,0.19442056119441986,200,,
0,205,0.20415090210735798,9.642679124034232e-06,0.11298678815364838,205,,
0,210,0.20269858837127686,9.625173581869287e-06,0.15679647028446198,210,,
0,215,0.21117620170116425,9.60726609636635e-06,0.12292872369289398,215,,
0,220,0.2044686172157526,9.588958223746902e-06,0.10054457932710648,220,,
0,225,0.2186842542141676,9.570251555027429e-06,0.17167623341083527,225,,
0,230,0.21033584885299206,9.551147715881165e-06,0.06611578911542892,230,,
0,235,0.2073646578937769,9.531648366496797e-06,0.21283717453479767,235,,
0,240,0.20720681175589561,9.511755201434206e-06,0.09053225815296173,240,,
0,245,0.20314006321132183,9.49146994947719e-06,0.11743507534265518,245,,
0,250,0.2035628892481327,9.470794373483238e-06,0.07578092813491821,250,,
0,255,0.20584138110280037,9.449730270230326e-06,0.2602926194667816,255,,
0,260,0.20963804423809052,9.428279470260776e-06,0.06673192977905273,260,,
0,265,0.20415397360920906,9.406443837722166e-06,0.07566290348768234,265,,
0,270,0.2051646001636982,9.38422527020534e-06,0.0670822337269783,270,,
0,275,0.20424888841807842,9.361625698579492e-06,0.12819132208824158,275,,
0,280,0.20921723917126656,9.338647086824373e-06,0.008047969080507755,280,,
0,285,0.4838110264390707,9.315291431859612e-06,0.09541290998458862,285,,
0,290,0.20736074075102806,9.291560763371176e-06,0.19640295207500458,290,,
0,295,0.20521076396107674,9.267457143634983e-06,0.09622864425182343,295,,
0,300,0.20477354899048805,9.242982667337691e-06,0.18635284900665283,300,,
0,305,0.20577258057892323,9.21813946139465e-06,0.061774495989084244,305,,
0,310,0.20862971805036068,9.192929684765073e-06,0.014113008044660091,310,,
0,315,0.2109334897249937,9.16735552826442e-06,0.16320186853408813,315,,
0,320,0.2112839613109827,9.141419214373995e-06,0.15082265436649323,320,,
0,325,0.20615552738308907,9.115122997047816e-06,0.047813501209020615,325,,
0,330,0.20572690106928349,9.088469161516738e-06,0.05201033502817154,330,,
0,335,0.21010424010455608,9.061460024089858e-06,0.03331722319126129,335,,
0,340,0.20612780191004276,9.034097931953203e-06,0.12391562759876251,340,,
0,345,0.20584975369274616,9.006385262965786e-06,0.19220897555351257,345,,
0,350,0.20569631084799767,8.978324425452932e-06,0.0242938045412302,350,,
0,355,0.20500514097511768,8.949917857996998e-06,0.02454446256160736,355,,
,,,,,357,0.0865999385714531,1.0904603413210934
1,360,0.20756502076983452,8.921168029225452e-06,0.0196941290050745,360,,
1,365,0.20652924850583076,8.892077437596334e-06,0.045985784381628036,365,,
